feature_1,feature_2,feature_3,target
1.3102,4.5542,4.4626,-0.9951
3.4857,4.4518,2.9442,-1.1227
6.1778,0.3061,3.8597,-0.3814
4.2417,3.8135,4.7647,-2.5614
0.7386,1.3872,2.513,2.2943
0.103,1.7115,1.9222,2.0951
2.4004,5.1525,5.846,-0.6427
1.3036,4.5857,6.167,-0.1786
3.1264,0.2359,3.4388,0.0093
0.1985,5.8894,2.2407,0.6539
0.0339,5.0869,1.0878,0.1067
4.1237,4.9062,1.3426,-0.8327
1.7812,5.6888,5.2463,-0.3225
1.8827,4.1403,5.3709,-0.8204
0.4168,0.6182,1.6047,1.9313
4.6557,5.0222,4.1237,-2.7144
0.0128,0.3762,5.2819,-0.4849
3.4497,2.202,4.3522,-0.4576
4.2924,2.1372,4.0932,-0.8628
3.1241,5.8594,4.867,-1.3001
0.486,0.1219,4.1301,-0.2453
3.0345,3.4037,6.1731,-0.33
3.2826,3.3878,5.9504,-0.7643
0.9625,1.7603,3.9266,1.1274
1.9099,5.2511,1.8391,1.0995
5.3599,3.8961,5.4772,-2.2062
5.3245,0.707,4.9304,-1.0969
0.1241,3.6874,4.6021,-1.3834
4.6017,6.0785,3.7004,-1.7168
3.3029,2.5237,3.1125,0.5334
5.6756,2.7706,3.1938,-0.2934
1.6327,1.0925,1.8418,2.8301
5.4712,5.9822,1.7785,-0.0279
2.6998,5.5264,3.2377,-0.2914
3.8899,3.5894,4.5473,-2.0181
4.1783,2.5831,4.8267,-1.2497
3.7371,4.4519,6.21,-1.5917
0.0301,2.0717,2.7577,1.4091
3.0348,0.6825,3.0622,0.8052
4.9343,3.7778,3.1202,-1.475
3.7992,2.0263,2.993,0.506
1.7325,0.6873,2.1166,2.5248
5.2035,2.2898,3.3327,-0.3763
6.0517,3.2293,0.5869,0.2708
5.9469,3.2305,1.539,0.5441
1.0971,0.1338,1.4297,2.0493
4.0285,2.1639,6.2123,0.0201
2.625,5.0817,0.183,-0.3962
2.5489,4.7236,0.8236,0.3245
2.6451,1.9834,1.3924,2.3493
5.5485,1.1881,6.281,0.2519
0.2033,4.2981,0.7371,0.0383
3.4446,3.6563,1.5435,0.2334
1.0311,3.9012,5.7661,-0.3522
2.0783,0.5526,4.5816,0.3416
1.1425,2.3502,5.3478,0.8132
4.8177,3.8865,3.9228,-2.2776
0.521,4.653,2.9573,-0.3148
2.0545,2.9244,0.2219,1.4155
0.7225,3.3966,2.3229,1.139
4.3476,1.5159,2.5153,0.6088
4.167,4.1226,1.0635,-0.8807
5.9938,1.6295,4.052,-0.044
3.4597,5.7142,5.4141,-1.6168
3.6488,4.3861,1.3344,-0.5058
1.1507,5.8046,4.0481,-0.3315
5.4279,2.6729,2.6738,0.1742
0.043,3.106,2.1406,0.9684
4.2451,0.5561,2.2156,0.4186
1.7009,0.7882,6.1445,1.484
1.5395,1.0315,1.3877,2.8409
1.4113,0.6421,1.6196,2.6658
1.8626,3.6867,4.3533,-0.4443
0.3642,4.7976,3.0843,-0.5595
5.1794,2.5549,1.8423,0.6399
0.6029,3.7539,1.3149,0.928
3.7165,1.8148,1.0431,1.3081
5.633,4.2282,4.76,-2.3854
2.1916,3.1537,2.9882,0.9151
5.1014,3.2568,0.8973,-0.2478
1.6151,2.6235,0.9684,2.2554
5.3972,1.0666,3.4867,-0.286
5.3948,3.3961,0.8979,-0.2302
4.765,1.3233,1.3423,0.946
0.4454,5.913,4.6959,-0.8561
1.1891,5.9884,3.0304,0.8052
4.0665,5.9048,0.3752,-0.7017
5.0014,5.9204,1.9652,-0.3144
6.1973,0.4238,0.6129,0.9325
0.5363,5.4363,1.2567,0.8168
3.2887,5.9441,0.6753,0.1601
5.275,4.4895,5.8723,-2.2345
0.702,1.938,5.0062,0.6775
3.7333,1.0799,4.157,-0.5354
0.1355,0.9277,4.8335,-0.1439
2.575,4.0184,5.1919,-1.154
3.4667,5.9417,3.9248,-1.44
5.426,4.4776,2.2782,-0.9072
6.0865,3.061,4.0053,-0.9039
1.3697,2.6062,4.1578,0.634
1.7236,4.1099,1.7359,1.1522
3.7308,4.3237,3.611,-1.8036
4.5359,0.2218,3.1347,-0.7716
5.4687,3.7368,5.8139,-1.7757
0.8148,0.6779,2.8256,1.6548
0.6453,3.8612,1.1327,0.7884
6.1884,4.1337,4.1301,-1.7649
2.9588,3.3584,3.3704,-0.2044
5.4515,3.0904,4.2878,-1.5932
0.7448,4.1965,5.6653,-0.7743
5.8367,5.4881,5.6959,-1.7093
3.6653,5.1587,4.7894,-2.4109
5.208,4.2465,2.2906,-0.9466
3.8175,1.5592,0.2277,0.563
0.1052,1.796,0.8688,1.8889
0.8474,0.2282,0.8422,1.6797
1.7928,5.1598,0.5041,0.5222
0.2512,1.866,4.3413,0.2742
2.7131,5.6719,1.7621,0.8343
4.1459,3.1532,4.7339,-1.8984
3.8101,3.6116,4.137,-2.0338
5.0473,4.8819,1.1838,-1.0849
2.3643,3.518,0.0724,0.3465
2.8956,1.9402,5.7985,0.8137
0.3658,5.8226,0.2987,0.0785
0.4343,0.0387,5.0051,-0.5531
0.0989,3.5079,0.2936,0.0559
0.0954,0.7998,3.4643,0.4688
5.9239,5.2432,0.5066,-0.7538
4.4619,1.2199,2.3044,0.7635
1.252,1.8736,1.9605,2.862
1.9465,0.8434,0.7268,2.3738
5.7425,4.369,5.261,-2.2775
5.1556,0.0957,3.8254,-1.3645
1.2343,4.9327,3.4193,-0.2359
2.1647,1.6039,5.4556,1.1918
5.4678,5.4035,5.694,-2.0357
3.2854,3.7088,6.1014,-0.8757
2.4818,5.5321,4.0974,-0.9165
1.7463,2.0086,0.1943,2.2074
5.246,4.1527,1.0917,-0.7513
3.6522,1.1925,4.3237,-0.536
5.1929,0.208,5.8513,-1.0794
4.0854,2.5527,3.9533,-1.0005
5.4751,2.4486,6.0612,-0.2878
5.4573,3.0052,3.285,-0.7888
1.0138,4.013,2.9985,0.2209
4.8644,1.3472,5.477,-0.7314
5.9896,5.6101,2.5107,-0.2235
4.2441,2.6237,2.2463,0.3803
1.3141,4.5282,0.1367,0.0827
5.2466,3.509,4.6996,-2.2929
2.3669,3.9795,4.9253,-1.0559
3.8018,2.5882,0.375,0.2897
4.9655,2.4599,2.2635,0.3519
3.982,2.9623,1.8499,0.3024
1.3529,4.5961,4.1805,-0.8352
3.4915,0.5095,4.4627,-0.7768
6.2656,2.8514,3.0317,0.3509
4.2611,0.0504,5.5244,-1.4314
1.9903,3.2606,3.4183,0.5285
4.0295,2.3458,2.224,0.6599
4.2851,1.9617,0.607,0.7055
4.1942,0.5208,5.1843,-1.3267
5.443,0.4256,4.0216,-1.061
6.0446,0.782,2.5347,1.1066
3.1458,4.7174,2.0413,-0.0284
5.9741,6.2103,0.6416,0.1406
5.3638,0.1722,1.5726,0.3318
3.4014,3.3726,5.5869,-1.0391
0.7684,0.9438,2.8262,1.8036
3.207,1.8976,2.5344,1.4603
4.4572,2.0285,5.1539,-1.0718
1.4874,4.3562,2.8712,0.2632
3.9006,4.9081,0.2151,-1.504
4.5152,3.4264,1.9039,-0.247
5.301,2.4181,0.3129,0.2411
2.4909,5.7889,1.2801,1.0916
0.0181,3.745,2.311,0.0485
3.09,0.0581,3.0369,0.0814
4.8011,1.6138,2.9285,0.1988
1.909,2.6386,0.1487,1.5494
3.0274,5.2742,2.5228,-0.0949
0.5338,1.9371,5.9768,1.1789
2.6638,1.8666,1.8345,2.4369
5.5595,4.125,4.6692,-2.6025
2.3129,3.944,2.73,0.4072
4.9379,6.1627,5.166,-1.9609
0.9933,1.9507,6.2091,1.6692
6.0346,6.0797,5.5857,-1.1331
5.0905,5.7623,4.0538,-2.2577
4.9304,4.3764,2.8421,-1.5371
1.384,4.3895,0.972,0.7922
3.497,4.4486,1.5868,-0.2312
4.4686,0.7634,1.1594,0.4955
3.6281,2.1335,2.0305,1.3139
1.3084,4.9603,5.3426,-0.7504
5.9782,1.921,0.7765,1.3255
2.6374,2.481,2.5262,1.595
1.6543,0.2415,3.7548,0.6353
0.8635,5.8228,5.8524,-0.0216
5.4255,1.4317,5.9188,-0.124
3.2633,1.1786,0.4592,1.2465
0.476,1.4655,2.0446,2.2637
4.1248,3.5294,6.2193,-1.2464
0.4611,1.2097,3.983,0.7235
4.4721,5.7936,4.8409,-2.5045
4.9733,3.1131,0.561,-0.5489
2.5236,4.7114,3.5814,-0.8114
4.1139,3.1748,3.1303,-0.8145
5.034,5.9094,4.9404,-2.2818
1.3868,2.8376,2.7066,1.6774
1.8157,2.2571,4.7232,0.6864
4.8872,5.6083,1.8039,-0.5704
0.1758,0.2473,0.5756,0.9302
6.0074,0.138,1.9198,0.695
4.9974,0.5159,4.6811,-1.5133
1.932,5.4088,4.8614,-0.6241
4.4494,3.0696,4.5607,-1.8171
5.9977,5.7763,1.0205,0.1271
3.2785,3.9189,1.6661,0.1351
4.9255,3.737,6.1488,-1.65
5.9307,5.9326,1.6515,0.2664
2.0099,5.2708,5.6482,-0.5328
0.2865,1.8056,3.8328,0.6789
1.3492,3.3432,0.7561,1.4466
6.2276,3.9397,3.8085,-1.3029
2.6093,2.781,1.3509,1.7807
3.6084,1.3175,4.9418,-0.3026
3.2097,3.1859,6.066,-0.3589
1.6929,5.8735,2.1647,1.4837
3.0239,2.2664,4.1242,0.1291
2.2738,3.9621,3.6691,-0.462
3.9928,4.5481,4.7266,-2.7705
0.7174,2.1596,2.2814,2.2188
1.0941,1.7011,4.7439,0.913
5.8971,2.0296,3.0427,0.4658
3.5367,2.8088,4.1101,-0.8769
2.062,2.3335,3.1469,1.5584
3.4044,1.184,6.2785,0.7666
5.8536,1.3996,2.9139,0.7743
1.1236,3.694,5.4051,-0.3542
1.9933,0.7762,0.143,1.8025
3.7734,2.7401,1.4399,0.8388
5.1626,1.3855,5.2631,-0.6649
0.4711,2.3701,2.8634,1.4792
5.3784,5.7618,3.4882,-1.5972
0.8194,5.5804,5.0355,-0.9296
1.1441,2.6412,1.1221,2.2393
1.8573,3.0251,5.4349,0.4357
4.8129,1.5821,6.1083,-0.104
5.7698,2.875,1.2679,0.7565
1.0419,5.7095,2.1,1.1399
6.1473,1.0528,1.4384,1.7006
1.6121,3.7445,5.7972,-0.0714
5.762,5.1766,4.2878,-2.3688
4.5427,3.1193,2.6406,-0.557
0.3572,1.1567,2.9578,1.3874
5.546,2.1191,6.2744,0.1178
5.0156,4.1505,0.5924,-1.1809
2.0177,5.777,5.7311,-0.075
3.0455,4.0396,2.8133,-0.3798
4.1586,0.9105,0.6678,0.6448
2.9119,1.1964,4.6533,0.1421
3.3079,0.408,3.0565,0.2839
0.8787,3.0487,2.9103,1.192
4.474,5.4964,5.845,-2.0862
4.8205,0.5013,1.4929,0.673
3.5874,1.6232,5.6597,0.0507
3.0388,5.5277,5.8647,-0.9884
5.2688,3.9119,6.0648,-1.7513
5.3731,1.7827,4.3485,-0.5596
3.7921,5.5102,6.2247,-1.2754
4.82,1.9412,5.4297,-0.8701
0.3992,0.8209,2.4977,1.7172
2.4849,4.6721,1.738,0.6375
1.9109,0.0318,5.5547,0.2948
4.785,2.1465,5.0124,-1.1644
3.2173,0.4124,5.0326,-0.5257
2.474,1.231,4.2132,0.6988
5.202,4.26,6.0471,-2.0528
0.1202,0.5725,1.6338,1.6657
0.3306,5.9534,3.2413,-0.0669
3.3104,3.2831,5.4314,-1.1952
0.7116,0.0509,2.1539,1.5511
1.6576,6.2041,3.9109,0.0985
6.0378,4.8693,4.5686,-2.2286
3.7078,3.6637,0.194,-0.8348
5.0439,0.8198,2.9709,-0.1542
3.9936,5.7605,1.8407,-0.3696
2.1809,2.9786,4.0939,0.1904
2.6646,4.7942,0.2011,-0.3752
0.0611,1.6866,4.6944,0.1079
4.1633,1.7407,0.8524,0.9573
3.4987,0.3681,0.9014,0.7746
4.8525,1.6916,2.2321,0.7586
1.1733,3.1046,6.2134,0.9099
1.221,3.7752,4.0474,-0.3809
1.2557,1.2893,6.2095,1.758
4.4698,3.8112,5.8883,-2.0026
4.8945,2.1036,0.3659,0.2893
2.7879,3.0975,0.7778,1.2259
2.673,6.2386,1.5541,1.4357
5.1999,5.7306,5.7083,-1.9273
4.7206,5.9193,4.3576,-2.3131
0.3013,5.1014,5.7889,-1.1727
3.5382,1.5557,1.0035,1.4962
5.3579,1.006,6.0375,-0.1569
5.7775,2.6049,3.9141,-0.6675
0.1991,5.7961,4.6296,-1.2447
2.287,2.0854,1.9632,2.5095
1.4542,5.7899,3.9573,-0.2012
5.5705,4.3087,4.9469,-2.4473
1.8907,4.0222,0.8183,0.9416
5.7202,4.0942,3.717,-1.905
4.1878,5.7141,0.5909,-0.8761
4.8812,1.7069,3.0682,0.0857
3.0446,5.1689,1.9021,0.2334
4.46,4.7804,5.6742,-2.6341
0.2217,5.9178,6.1952,-0.2358
4.6239,0.9328,0.7132,0.4674
1.4656,0.6461,2.4039,2.3068
2.4691,2.8432,5.1898,0.0134
5.0354,5.9829,6.1319,-1.3714
1.4173,3.0612,5.5428,0.4086
5.7104,6.1999,0.9964,0.1639
0.7755,3.8341,3.2571,-0.0678
5.5296,5.4602,5.7146,-1.9895
3.8002,5.1387,4.9995,-2.4921
4.7037,0.0145,1.3843,0.0259
1.7594,6.0637,3.0513,0.7133
4.0144,0.1868,5.6557,-1.194
2.4598,5.4606,5.6101,-0.7469
0.0786,0.548,2.1128,1.5344
0.7034,0.8094,5.0765,0.2669
2.3072,0.0636,5.5385,0.0974
3.74,4.8741,0.6085,-0.8706
0.7573,4.7903,2.4392,0.296
2.0861,5.9982,6.2206,0.5232
3.3677,2.2057,5.6539,-0.0331
4.0343,2.6784,6.1167,-0.56
2.6016,4.6239,2.5969,0.0643
2.9561,4.4602,6.2362,-0.8931
1.0541,2.0626,1.3139,2.7155
0.2846,1.9696,3.4986,0.8609
3.5984,5.8994,0.3379,-0.5411
4.0449,2.922,4.4418,-1.4811
4.481,3.1761,1.8992,-0.037
0.5696,0.3565,0.7358,1.4732
6.2007,0.9692,3.9731,0.0409
4.3493,2.0417,3.1191,0.0083
4.6586,4.6841,3.6726,-2.5339
1.0155,1.0553,5.1987,0.8821
1.1766,3.8029,5.5327,-0.4043
2.3947,1.6482,3.8521,1.0329
6.0878,4.4574,3.8521,-1.9583
1.9332,3.6199,3.7802,-0.114
1.5665,2.8652,5.8881,0.8022
6.0569,5.3632,2.1721,-0.1939
1.9919,5.9653,3.1143,0.5566
1.7032,3.1635,2.9344,1.1949
0.0369,0.7237,5.937,0.3572
2.6234,0.5797,5.7493,0.5781
4.8585,4.1939,1.3478,-0.8916
2.5212,3.1694,3.8872,-0.2242
4.9751,3.0815,3.5821,-1.4348
5.6471,3.4123,0.6262,-0.3385
4.0219,1.0528,0.0577,0.1983
2.0917,1.2299,1.8485,2.8246
1.3947,4.0585,1.4938,1.1375
2.9996,3.428,3.9166,-0.8935
1.0182,4.3425,0.0822,0.0782
2.9903,5.146,2.6494,-0.2793
2.7365,4.491,2.8414,-0.3828
1.454,3.6886,3.4844,0.2607
5.7796,0.7618,3.8829,-0.4071
6.2163,4.0637,5.9719,-1.1733
2.5981,2.1312,2.0884,2.1989
0.9698,5.093,2.941,0.0043
5.1862,4.6768,4.3568,-2.7306
0.4542,2.0043,6.2026,1.2346
3.6381,6.146,4.5142,-1.5758
0.7091,5.7838,2.8445,0.4234
4.9258,6.0211,4.8188,-2.0923
5.6343,2.3752,6.1831,-0.1138
3.5032,4.7567,0.2837,-1.0267
4.7784,3.0494,5.9906,-1.105
5.9572,3.0425,4.0122,-1.007
5.2119,5.539,3.6842,-2.0444
5.8261,0.2185,6.2768,-0.2941
3.8773,4.6839,4.5094,-2.6536
1.6403,2.593,6.1608,1.4356
4.3721,2.4195,6.0053,-0.5454
0.1751,1.1957,1.643,2.1167
0.6885,0.7061,3.0566,1.4466
1.8486,2.1603,0.8725,2.5014
3.6578,3.7037,1.0343,-0.2072
1.7052,5.7124,5.0904,-0.4509
3.8038,4.0563,2.3622,-0.661
1.5758,1.1611,3.035,2.0006
4.2861,4.4976,4.1917,-2.8205
2.0572,1.191,5.6296,1.1706
0.2506,5.9713,3.6027,-0.5486
3.7396,3.9425,4.6574,-2.2429
0.0826,1.0425,4.0744,0.1433
3.4927,4.4442,5.3642,-2.0999
2.5358,0.8945,1.3044,2.2671
4.1366,1.0399,1.2028,0.8869
3.8482,3.7481,3.7925,-1.8036
4.9483,2.6104,1.2517,0.5094
5.0306,1.0119,3.3313,-0.3779
1.5204,5.2316,2.8534,0.5479
2.4469,4.9547,2.7325,0.0858
3.178,1.5014,5.6962,0.4426
3.0352,5.1207,0.0439,-0.6426
2.6579,2.3608,4.4088,0.2452
5.4597,1.0176,4.8495,-0.9523
5.1385,3.7419,1.3924,-0.4316
3.6087,1.2151,0.0752,0.5535
3.3697,4.2468,1.6825,-0.1397
2.1711,3.6784,4.3687,-0.7193
3.0336,5.2583,2.7047,-0.2712
2.1933,1.3155,3.7417,1.1522
1.0723,2.0663,6.13,1.6838
0.9352,1.2534,0.8372,2.5514
4.8742,1.5148,2.3931,0.6082
4.1347,1.9751,4.5365,-0.8771
4.2843,2.493,2.6703,0.0404
2.4457,2.6423,4.6261,0.074
3.9613,3.8534,5.1243,-2.3693
2.9528,4.6286,3.6616,-1.3052
0.9881,4.0063,4.1044,-0.7923
5.388,2.4048,1.3524,0.8751
2.8522,2.9417,4.1007,-0.2921
0.0831,1.9825,3.1997,1.0053
4.1427,2.6065,3.7756,-0.9996
2.8061,2.2386,0.0005,1.1832
1.5834,1.937,0.5268,2.4372
3.5622,5.9092,0.4155,-0.4072
1.1031,4.277,4.8829,-0.9872
0.9626,4.9765,0.6699,0.5866
4.9539,2.5905,3.8996,-1.0871
3.3089,1.6954,2.2997,1.6172
1.3499,1.0496,4.0623,1.0697
5.1004,0.5544,1.1766,0.5581
2.0681,4.466,0.4084,0.3385
0.2988,4.6375,1.8341,0.2816
2.3546,2.2788,0.6505,2.0263
6.1156,6.0492,2.6917,0.1316
5.285,0.2964,0.0164,-0.5259
4.0963,2.187,0.7111,0.7433
1.475,5.295,3.5372,-0.2526
3.1757,0.4135,1.8251,1.2995
2.623,3.2127,2.2638,1.1388
5.8688,3.1018,0.4012,0.0657
5.8499,3.203,3.9598,-1.1957
5.9423,3.8884,4.0066,-1.783
1.549,3.0914,6.0936,0.9536
3.5013,5.1897,5.7937,-1.5248
2.2209,2.1901,3.4958,1.2352
5.1659,2.8457,0.3356,-0.2109
2.1462,4.4684,2.3075,0.624
4.1804,1.6735,2.2052,0.9857
2.4926,5.3799,0.1486,0.0521
4.2681,0.5071,5.1572,-1.2338
5.0736,5.7198,4.9646,-2.4305
2.2058,1.0425,4.7071,0.6409
1.1906,1.3406,1.4474,2.9277
4.7494,6.1436,5.3458,-1.8832
0.5802,5.4233,2.8847,0.1048
5.9152,5.3426,1.1726,-0.2858
4.4867,2.738,1.4807,0.5427
4.7623,1.3391,1.1438,0.7951
3.6077,6.2556,4.8626,-1.4132
3.5383,4.3324,3.2764,-1.3905
2.2872,3.7162,1.7803,1.2144
2.8292,3.1516,4.2851,-0.5795
2.3479,0.2759,0.6923,1.5898
1.8432,5.7293,5.677,-0.084
5.3126,1.9881,3.2915,-0.2004
0.316,1.4854,4.1793,0.5163
3.6075,0.4877,0.6852,0.559
1.7531,0.3287,3.8963,0.6353
2.3731,1.4474,3.2602,1.5219
4.4468,4.6902,2.168,-1.0808
4.2641,4.7784,5.5542,-2.5434
3.5936,0.5242,5.9846,-0.2804
1.5476,3.7275,3.7494,-0.1034
5.8109,1.1921,2.1589,1.3132
4.8153,4.1205,0.7397,-1.1441
2.2621,0.5945,4.7602,0.3102
2.905,4.7194,3.2367,-0.8374
0.4848,2.1562,2.2795,2.067
3.348,2.2728,4.1614,-0.2411
0.7075,1.0797,3.8085,0.912
5.2298,0.0319,1.6637,0.1921
5.7854,0.9906,4.0249,-0.3651
1.4537,0.5651,4.211,0.58
4.0049,5.9724,4.9045,-2.0309
