Feature_1,Feature_2,Feature_3,Target
2.893,2.687,16.614,-0.442
4.27,2.451,24.002,-1.186
4.917,2.792,19.73,-0.019
5.285,0.322,17.703,-1.718
2.788,3.395,20.367,0.859
9.276,2.462,10.732,-0.156
1.869,-3.281,19.206,1.33
1.063,-2.548,23.202,-0.844
7.646,3.416,17.276,-0.232
5.511,1.132,21.016,1.046
0.996,-2.278,11.139,-0.69
1.197,-0.589,12.479,0.479
7.169,0.149,21.383,1.534
2.304,-3.39,23.331,-0.461
6.475,4.451,19.171,-0.294
8.951,-1.02,21.461,0.002
6.969,3.744,16.012,-0.423
2.204,1.863,24.082,0.859
8.451,2.7,14.566,2.39
6.946,-4.351,11.699,0.211
4.863,4.763,11.642,-2.697
6.923,-0.679,19.88,0.295
1.951,-3.133,17.721,0.158
1.272,1.408,12.011,1.185
3.385,-0.283,24.418,-0.831
1.642,2.762,12.22,0.943
5.54,-4.389,21.861,0.307
2.884,-0.782,11.847,-1.185
3.618,2.835,18.589,0.278
0.414,-2.708,10.242,-1.465
2.871,-4.414,18.66,0.608
7.615,-2.678,13.811,1.556
5.565,-3.46,13.901,0.581
1.221,-2.103,19.733,0.95
1.797,2.515,22.401,1.665
1.607,4.03,17.834,-0.079
1.727,-2.464,10.665,-0.592
4.158,4.375,20.779,-1.252
3.104,1.433,20.752,1.793
5.827,2.425,18.724,0.274
8.542,1.052,12.887,1.831
0.381,4.285,22.716,-1.172
6.887,-1.327,13.22,0.23
8.611,3.167,22.956,-0.482
7.503,3.433,13.746,1.239
1.537,0.401,15.148,2.183
3.837,-0.508,21.746,-0.793
1.104,-5.131,10.466,1.005
7.034,-3.612,17.961,0.233
10.091,0.926,20.703,0.499
9.735,-1.958,22.541,-1.723
6.663,4.267,9.706,-0.726
5.109,-1.358,20.749,-1.026
8.375,1.694,23.74,0.963
4.011,-3.678,19.183,-0.565
5.429,0.332,15.227,0.22
7.72,0.621,24.439,0.98
9.925,4.406,19.117,-1.425
8.54,-1.985,15.608,-0.023
3.145,2.74,21.897,0.651
5.975,-3.598,23.666,-1.408
4.532,1.679,23.024,-0.405
3.072,4.692,18.382,-1.135
2.589,-0.136,12.876,0.516
7.154,2.404,11.625,0.389
1.132,4.11,20.392,1.085
8.328,2.283,19.994,2.665
8.838,0.55,23.128,-0.127
4.744,-4.747,23.958,-0.833
8.145,0.592,16.356,0.871
5.705,2.115,18.467,-0.26
7.305,-5.104,23.112,0.636
1.565,-2.695,11.998,0.382
1.598,3.473,24.318,-0.234
1.208,-4.149,22.156,1.451
9.009,-2.953,14.216,1.94
8.572,3.226,22.453,-0.214
5.056,3.899,14.797,-1.007
1.463,-0.686,14.125,1.13
8.727,-4.372,15.989,1.567
7.053,3.585,22.499,-0.303
8.751,2.188,19.378,2.594
7.529,-4.254,23.742,1.124
-0.018,4.116,15.369,-0.13
3.268,1.55,16.287,0.437
6.699,-1.985,21.333,-0.351
0.359,3.839,15.853,-0.098
6.891,-0.469,19.092,0.5
1.493,-1.523,17.674,-0.932
6.62,3.835,13.561,0.603
2.074,-1.569,12.981,0.021
8.385,-2.931,23.504,-0.064
0.921,-0.8,23.46,-0.972
6.605,-4.834,14.804,1.943
7.063,-1.554,24.389,-0.732
5.876,-4.829,24.443,0.049
7.845,0.985,20.479,2.873
0.091,3.135,13.385,1.132
5.768,1.487,22.936,-0.089
4.101,1.672,11.314,-0.476
0.267,-2.134,15.17,0.486
8.689,2.3,9.87,0.643
7.116,-3.533,13.895,2.139
5.948,1.902,16.125,-0.456
1.153,-2.592,10.716,-0.339
7.37,4.402,12.621,-0.242
3.166,-0.606,19.232,-0.414
4.84,4.084,14.622,-0.754
3.87,1.209,14.81,0.795
2.587,-2.788,12.774,0.674
5.843,-4.37,14.589,1.523
1.048,-2.453,23.76,-0.816
6.19,-0.311,19.774,0.601
8.199,3.467,18.531,0.06
6.915,-3.531,19.294,1.908
10.231,-3.931,11.391,-0.695
4.392,0.501,11.866,-0.67
7.194,-3.572,15.658,1.08
3.409,-0.448,10.653,-1.478
9.845,-0.392,16.958,-1.78
6.873,1.21,14.835,2.289
6.926,-0.358,19.078,0.567
4.312,-4.649,19.496,0.51
5.38,-1.324,22.578,-2.66
1.362,0.938,14.445,2.468
9.957,0.245,18.313,-0.498
8.92,-1.916,11.66,-0.839
2.422,1.231,22.677,0.995
6.541,-0.541,18.559,0.03
5.668,2.064,14.913,0.884
2.879,2.676,19.046,0.388
9.098,-2.545,14.594,0.565
3.225,4.049,11.73,-1.335
2.319,0.753,12.975,1.748
9.609,-2.303,12.481,-1.3
5.223,4.371,17.551,-2.778
4.233,4.218,18.901,-1.632
9.474,-1.103,23.217,-1.584
3.189,4.922,22.847,-2.45
2.517,-1.881,12.804,-0.698
2.19,-2.389,15.357,0.664
8.749,-5.092,17.889,0.884
2.34,-3.274,17.517,-0.184
8.148,-1.431,12.073,-0.74
9.214,0.163,16.877,-0.679
0.798,-4.153,24.278,0.648
4.048,2.835,11.878,-1.141
2.144,-1.208,13.763,0.723
7.855,0.847,10.912,0.866
1.416,-4.174,18.373,1.443
10.043,-0.55,10.564,-2.076
7.933,3.128,14.779,1.827
4.127,-1.715,22.148,-2.134
9.637,3.196,10.45,-0.55
8.383,4.372,14.312,0.828
1.269,-2.415,13.771,1.342
1.316,-3.211,12.614,0.555
9.066,1.44,15.955,0.323
2.189,-0.187,21.991,0.389
6.204,-1.578,19.203,-0.577
8.081,4.992,19.551,0.853
3.807,-0.497,16.414,-1.835
2.396,2.851,16.181,0.446
0.908,-3.223,18.069,0.066
4.855,-1.086,14.666,-0.909
2.105,-4.337,17.934,0.997
6.864,-4.03,19.023,1.761
9.107,1.071,17.608,0.436
7.621,-4.515,23.645,1.045
5.425,-2.543,10.879,-2.335
1.898,-4.172,11.931,1.102
5.445,-1.159,17.822,-2.471
8.025,-2.528,20.847,1.153
5.02,-3.694,13.029,-0.093
9.728,2.17,11.569,-0.307
9.33,-0.596,10.919,-1.306
1.481,4.707,16.9,-1.009
9.761,2.367,17.725,-0.571
8.64,-3.923,24.662,1.33
5.024,1.548,23.374,-0.785
3.708,-4.061,20.501,1.351
3.765,2.155,24.183,-0.626
9.454,-3.762,14.467,0.999
6.722,1.347,16.467,0.77
4.303,-3.829,11.838,-0.958
7.253,3.164,17.822,0.082
5.817,0.256,20.373,0.959
0.777,1.283,16.686,0.854
0.571,-2.584,16.745,-1.116
1.872,-2.53,11.887,0.074
9.456,3.018,18.376,0.402
8.505,0.029,13.263,1.247
8.409,-4.383,14.011,2.861
5.429,0.716,9.824,-0.774
7.372,-1.24,13.091,0.616
0.881,-3.048,21.865,0.349
8.386,-2.955,22.122,0.869
5.217,1.565,13.902,1.133
7.508,3.973,15.717,0.329
9.368,2.208,17.171,0.079
4.689,-4.154,23.886,-1.073
6.826,4.264,23.325,-1.852
6.12,5.177,10.942,-2.384
7.794,-4.891,22.432,1.673
6.373,4.983,23.741,-1.983
3.459,-4.255,16.863,-0.242
4.766,0.537,13.381,0.232
9.894,-0.486,12.007,-0.99
0.976,4.183,10.778,-0.967
0.434,4.514,11.026,-1.191
1.993,3.476,21.027,1.528
7.214,1.115,17.92,0.756
9.371,0.496,19.062,1.11
2.435,-3.233,19.582,1.526
3.267,-2.1,22.923,-1.161
7.002,2.213,19.72,2.362
2.915,3.629,11.743,-0.848
2.378,2.124,22.665,1.386
3.017,-4.262,13.718,1.976
2.702,4.587,25.152,-0.816
3.199,-4.502,12.996,1.323
1.811,4.104,11.254,-0.921
9.316,2.747,14.812,0.605
3.251,-3.902,13.473,1.32
3.532,2.659,10.954,-0.942
7.491,-0.129,14.897,1.817
5.354,-4.687,20.862,1.031
8.299,-1.531,19.329,-0.05
7.991,-3.391,16.348,0.332
6.634,1.628,19.377,2.045
6.843,1.168,24.413,0.491
6.555,-3.496,15.993,0.337
1.231,4.407,22.966,-0.955
6.493,-1.336,20.135,0.306
-0.199,1.203,23.262,0.229
7.216,3.62,18.355,0.488
7.863,-0.864,10.714,-0.829
7.235,0.31,16.154,0.201
5.807,2.498,22.416,-0.551
3.641,0.017,11.837,-1.707
9.292,2.85,21.284,1.25
2.503,-3.449,18.118,0.543
2.841,-2.63,19.465,0.484
3.678,5.01,20.351,-0.907
3.626,2.497,14.319,0.589
1.744,-4.522,21.862,1.966
4.758,-3.748,17.048,-1.237
4.024,4.479,18.325,-1.917
7.379,3.4,12.242,-0.143
7.677,2.053,9.81,1.386
2.374,-3.205,14.354,1.72
9.336,-2.031,17.57,-2.096
7.336,-3.015,10.907,-0.343
3.482,2.879,23.018,-0.769
1.76,4.664,20.011,0.922
4.703,-2.179,18.88,-1.876
8.43,0.883,22.393,1.358
1.143,-0.64,22.369,-0.111
8.854,0.738,21.123,2.247
8.866,-4.588,24.039,0.559
8.952,-2.762,16.989,-0.931
5.903,-4.575,18.69,0.418
6.198,3.723,22.144,-1.1
2.01,-0.716,16.372,-0.271
7.304,-0.244,12.741,0.547
1.184,0.091,16.414,-0.047
6.088,4.108,15.944,-1.288
1.988,-0.515,19.185,0.959
8.16,-2.221,20.333,1.066
9.889,-1.733,11.658,-2.176
9.103,2.299,24.375,0.323
8.67,-5.001,23.54,0.491
7.906,-2.063,9.91,-0.509
4.451,2.475,15.789,-0.391
0.074,2.599,12.856,0.902
4.0,0.849,13.998,0.968
8.238,-3.968,16.232,1.026
6.507,0.244,22.794,0.134
5.803,-2.178,12.968,-0.88
8.198,-4.078,11.333,0.644
9.524,-1.966,11.102,-1.923
3.335,1.34,16.727,0.269
5.388,3.983,14.117,-0.827
0.434,1.484,13.537,2.327
4.232,1.561,15.371,-0.148
4.787,1.803,14.983,0.529
1.161,3.873,15.054,0.406
7.881,4.506,16.26,-0.763
9.814,-4.398,15.407,0.945
7.942,3.458,21.167,1.419
0.136,1.347,16.536,0.275
9.103,-2.139,13.715,0.337
1.71,3.157,16.849,-0.069
1.182,-1.343,20.877,1.003
6.48,-0.248,21.1,0.314
6.322,4.462,18.88,-1.232
2.343,-0.588,20.877,1.146
4.057,-0.579,21.378,-0.417
8.143,-3.243,18.299,0.569
6.404,-4.354,16.536,0.688
4.438,0.86,20.057,0.624
2.545,-1.845,10.818,-1.687
6.203,-0.22,11.131,-0.827
1.601,-1.376,20.819,0.785
7.882,-5.137,16.21,1.113
8.644,-2.689,14.611,1.494
7.305,2.999,19.343,1.485
3.048,0.436,11.618,0.069
7.249,4.64,21.633,0.315
2.73,3.776,17.235,-1.373
4.399,-1.897,23.773,-2.808
8.753,-2.573,18.417,-0.208
3.454,-2.394,17.878,-1.376
7.694,-1.253,13.729,0.992
9.744,0.842,11.309,-0.501
7.895,-5.008,21.326,2.749
1.336,-0.956,18.964,0.554
1.587,-1.172,13.313,0.533
6.324,2.479,19.314,0.715
6.068,-0.886,13.693,0.195
2.947,2.485,20.61,1.668
5.444,3.133,21.055,-0.161
3.206,4.774,20.283,0.506
6.064,-1.34,23.368,-1.938
9.54,2.23,22.649,0.202
5.888,4.74,23.953,-2.489
2.897,-3.267,19.604,1.403
1.295,0.724,24.033,0.407
8.164,-0.751,17.562,-0.846
5.841,4.763,13.085,-1.166
8.167,-1.103,10.184,-0.892
0.7,2.529,21.06,2.17
1.129,2.396,20.586,2.446
9.461,-0.471,22.523,-0.852
8.401,-0.331,18.694,0.058
2.5,-1.76,18.065,-1.861
6.952,-0.27,12.628,0.318
0.439,-4.229,19.939,1.764
9.544,1.0,16.024,0.54
2.559,-4.14,20.005,2.723
1.314,-3.04,20.301,1.933
4.758,0.078,13.512,-0.202
2.985,3.372,20.324,0.694
3.922,4.004,20.844,-0.35
3.661,2.773,16.618,-1.155
7.751,2.479,13.153,2.51
3.903,-3.906,13.827,1.365
0.264,3.722,24.985,-0.627
4.259,-3.281,14.546,-0.09
9.585,1.46,11.021,-0.115
7.081,4.703,20.683,0.806
1.374,1.253,15.435,2.083
7.18,2.003,23.936,0.719
4.635,-4.749,19.964,0.918
5.402,3.959,16.749,-1.739
6.512,-3.807,19.701,2.027
3.765,3.908,22.341,-1.111
5.919,1.539,22.306,0.521
0.732,-3.0,14.422,1.447
6.465,-1.769,15.213,-0.194
9.72,-0.995,11.534,-1.704
8.84,-0.203,20.204,0.512
4.47,-2.928,15.698,-1.711
7.038,-3.454,24.541,0.834
5.085,-4.356,15.346,0.342
0.453,2.857,16.123,-0.377
3.227,5.108,18.634,-1.114
4.396,3.984,18.561,-2.561
3.297,-3.693,13.709,0.777
3.326,4.089,13.514,-0.382
4.714,-4.837,12.67,0.21
2.955,-2.899,23.648,-1.034
6.647,-3.072,13.218,1.1
7.278,-1.723,23.499,-1.367
7.041,0.484,12.297,0.709
1.345,2.973,19.3,0.737
2.856,3.719,10.461,-1.065
5.817,3.378,14.899,-0.09
8.85,3.681,11.615,-0.684
9.232,-0.9,23.511,-1.651
10.703,-3.501,24.006,-1.022
6.298,-3.729,12.893,0.601
1.138,3.741,23.416,-0.426
9.348,2.315,21.533,1.528
2.545,1.421,24.175,1.69
8.846,1.547,24.179,0.678
8.813,-3.343,14.037,2.166
7.528,0.429,15.854,1.04
1.421,1.022,25.083,1.501
10.25,-0.911,17.738,-1.814
9.086,-0.039,23.125,-0.462
